Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
powiat;gmina;powierzchnia;gestosc;populacja;0-4;5-9;10-14;15-19;suma_U19;wydatki;przystanki;Średni wynik
powiat nowotarski;gmina Ochotnica Dolna;141;60.2;8488;457;509;552;539;2057;21857333.66;33;58,72885023
powiat nowotarski;gmina Raba Wyżna;89;162.2;14436;650;835;896;929;3310;43156004.44;41;66,02589865
powiat nowotarski;gmina Rabka-Zdrój;69;237.9;16415;668;791;912;884;3255;40030545.56;81;68,58653921
powiat nowotarski;gmina Spytkowice;32;146.0;4672;180;349;305;307;1141;14326604.7;21;73,74656812
powiat nowotarski;gmina Szaflary;54;208.3;11248;617;670;686;687;2660;27960077.48;75;60,91153191
powiat olkuski;Bukowno;64;144.0;9216;271;398;447;425;1541;25081016.18;86;59,39421158
powiat olkuski;gmina Bolesław;41;183.7;7532;199;322;390;388;1299;20918007.77;92;63,83462062
powiat olkuski;gmina Klucze;119;120.2;14304;440;681;770;733;2624;39968363.49;136;57,72849063
powiat olkuski;gmina Olkusz;151;299.5;45224;1569;2179;2227;2306;8281;124579145.34;320;66,13249653
powiat olkuski;gmina Trzyciąż;96;72.1;6922;296;394;387;352;1429;12931975.53;50;66,60949972
powiat olkuski;gmina Wolbrom;147;148.2;21785;803;1031;1136;1057;4027;54416808.48;224;52,45204741
powiat oświęcimski;Oświęcim;30;1171.6;35148;1262;1630;1604;1736;6232;93652573.23;125;68,45094933
powiat oświęcimski;gmina Brzeszcze;46;443.9;20419;690;1011;1120;1027;3848;62995257.02;60;66,39667781
powiat oświęcimski;gmina Chełmek;27;447.5;12082;351;605;592;632;2180;32954464.02;52;54,97709924
powiat oświęcimski;gmina Kęty;76;433.6;32954;1347;1815;1854;1799;6815;94168808.41;142;64,08093671
powiat oświęcimski;gmina Osiek;41;198.1;8122;351;485;486;472;1794;28589654.49;32;60,45956634
powiat oświęcimski;gmina Oświęcim;75;253.7;19028;677;1045;1129;1087;3938;67302873.97;144;68,38140268
powiat oświęcimski;gmina Polanka Wielka;24;180.2;4325;204;276;259;221;960;11048719.27;30;64,74699765
powiat oświęcimski;gmina Przeciszów;35;178.0;6230;218;320;371;391;1300;17102980.2;7;69,3668519
powiat oświęcimski;gmina Zator;52;175.2;9110;409;505;512;481;1907;30835160.19;52;68,56205036
powiat proszowicki;gmina Koniusza;89;102.9;9158;444;516;552;520;2032;24533217.51;107;63,31939243
powiat proszowicki;gmina Koszyce;66;78.8;5201;178;238;228;247;891;16107317.17;54;66,75951294
powiat proszowicki;gmina Nowe Brzesko;54;103.3;5578;199;265;311;272;1047;14696005.19;10;63,80777239
powiat proszowicki;gmina Pałecznica;48;72.0;3456;168;169;204;200;741;11283843.52;26;61,93115981
powiat proszowicki;gmina Proszowice;100;153.7;15370;625;791;767;703;2886;35028155.57;88;63,64748503
powiat proszowicki;gmina Radziemice;58;54.5;3161;100;179;161;162;602;7573949.41;64;59,11284729
powiat suski;Jordanów;21;256.6;5389;282;343;311;269;1205;12441721.84;5;67,91129659
