x,y,nazwa,powiat,gmina,postal_code,id
19.5474775841672,50.3008667026135,Szkoła Podstawowa Nr 6 im. Fryderyka Chopina w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w186754122
19.4690505855211,50.2961540690542,Szkoła Podstawowa im. Stanisława Staszica w Bolesławcu,powiat olkuski,gmina Bolesław,,w197202749
19.5754150702924,50.2667276911148,Zespół Szkól Nr 4 im. Komisji Edukacji Narodowej w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w216607374
19.5756713990073,50.2679957527592,Szkoła Podstawowa Nr 3 im. Marcina Biema w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w216607375
19.5639208467547,50.3408574586163,Szkoła Podstawowa im. Jana Pawła II w Kluczach,powiat olkuski,gmina Klucze,32-310,w222218271
19.6147330578384,50.2691505522643,Szkoła Podstawowa im. Marii Dąbrowskiej,powiat olkuski,gmina Olkusz,32-300,w255706214
19.6121371496411,50.2089333619189,Szkoła Podstawowa im. Henryka Sienkiewicza w Gorenicach,powiat olkuski,gmina Olkusz,,w263263887
19.5621004903733,50.3527317653598,,powiat olkuski,gmina Klucze,32-310,w297970694
19.5972424078143,50.3357797356469,Szkoła Podstawowa im. Orła Białego,powiat olkuski,gmina Klucze,32-310,w298270102
19.6427444086867,50.3843980766529,Szkoła Podstawowa im. Marszałka Józefa Piłsudskiego w Bydlinie,powiat olkuski,gmina Klucze,32-310,w307034759
19.6495459630871,50.2725357843341,Szkoła Podstawowa im. Marii Konopnickiej w Kosmolowie,powiat olkuski,gmina Olkusz,,w310282200
19.5682672408412,50.2774211635676,Szkoła Podstawowa nr 4 im. Francesco Nullo w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w335720262
19.5670425743516,50.277702378867,Zespół Szkół nr 3 im. Antoniego Kocjana w Olkuszu,powiat olkuski,gmina Olkusz,,w335720263
19.4275894862205,50.31028482109,Zespół Szkół,powiat olkuski,gmina Bolesław,32-329,w366853320
19.5344990036487,50.3949985661004,Szkoła Podstawowa im. Mikołaja Kopernika,powiat olkuski,gmina Klucze,32-310,w381540420
19.6426987002925,50.3841948739403,Zespół Szkolno-Przedszkolny w Bydlinie,powiat olkuski,gmina Klucze,32-310,w388333055
19.7443747849119,50.308001561298,Zespół Szkół im. Króla Jana III Sobieskiego w Jangrocie,powiat olkuski,gmina Trzyciąż,,w432224398
19.7617295598787,50.3875065097491,Szkoła Podstawowa nr 1 im. Henryka Sienkiewicza w Wolbromiu,powiat olkuski,gmina Wolbrom,,w457644685
19.638714038818,50.2282576750173,Szkoła Podstawowa im. Wojska Polskiego w Zawadzie,powiat olkuski,gmina Olkusz,32-327,w463007991
19.7555812315882,50.3597452240424,Szkoła Podstawowa w Chełmie,powiat olkuski,gmina Wolbrom,,w516458709
19.4290770858638,50.2808384189337,Zespół Szkół nr 2 w Bukownie,powiat olkuski,Bukowno,,w557092497
19.7710208601318,50.3831913065715,,powiat olkuski,gmina Wolbrom,,w683782862
19.7713306282148,50.3832898967258,Zespół Szkolno-Przedszkolny,powiat olkuski,gmina Wolbrom,32-340,w683782863
19.5986741309251,50.2433681784139,Zespół Szkolno-Przedszkolny w Osieku,powiat olkuski,gmina Olkusz,,w801391193
19.7706191957894,50.3733963480873,Szkoła Podstawowa Nr 2 im. Adama Mickiewicza w Wolbromiu,powiat olkuski,gmina Wolbrom,32-340,w884032532
19.4667767416685,50.2667792361091,Zespół Szkół nr 1 w Bukownie,powiat olkuski,Bukowno,32-332,w974108065
19.8125101230571,50.3754231100336,Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego w Wierzchowisku,powiat olkuski,gmina Wolbrom,,w1009156814
19.5195103517829,50.3669100754252,Publiczna Szkoła Podstawowa w Chechle,powiat olkuski,gmina Klucze,,w1116327824
19.6949421068079,50.3726274355365,Zespół Szkolno-Przedszkolny w Zarzeczu,powiat olkuski,gmina Wolbrom,32-340,w1159151710
19.6667065662367,50.306103472821,Szkoła Podstawowa im. Jana Pawła II w Braciejówce,powiat olkuski,gmina Olkusz,,w1160851521
19.5468472996252,50.3008906143624,Szkoła Podstawowa Nr 6 im. Fryderyka Chopina w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w1237803961
19.7561167532626,50.3776436181666,Zespół Szkół im. Romualda Traugutta w Wolbromiu,powiat olkuski,gmina Wolbrom,,w1301153452
19.5825972584679,50.2454611854553,Publiczna Szkoła Podstawowa im. Juliusza Słowackiego w Witeradowie,powiat olkuski,gmina Olkusz,,w1387088514
19.5847732494348,50.2775169742786,,powiat olkuski,gmina Olkusz,,w1387089643
20.3737017309649,50.1300401279447,Szkoła Podstawowa im. Marii Konopnickiej w Brzesku,powiat proszowicki,gmina Nowe Brzesko,,w237607871
20.2994716932821,50.1896215657938,,powiat proszowicki,gmina Proszowice,32-100,w328525644
20.3021920379722,50.1920345210749,Zespół Szkół im. Bartosza Głowackiego w Proszowicach,powiat proszowicki,gmina Proszowice,32-100,w328821003
20.3603220085083,50.2338913104914,Szkoła Podstawowa im. Lotników Alianckich w Ostrowie,powiat proszowicki,gmina Proszowice,32-107,w403190976
20.4004827230078,50.193449409061,Zespół Szkół imienia Mikołaja Kopernika w Kościelcu,powiat proszowicki,gmina Proszowice,,w719634807
20.1782523642353,50.1672231581788,Zespół Szkół w Biórkowie Wielkim,powiat proszowicki,gmina Koniusza,,w744324606
20.1651060319527,50.2543411186816,Szkoła Podstawowa im. Świętego Jana Pawła II w Łętkowicach,powiat proszowicki,gmina Radziemice,,w755538787
20.2286699199271,50.1314611390679,Szkoła Podstawowa im.mjr Stanisława Szymachy,powiat proszowicki,gmina Koniusza,,w893379945
20.286342850102,50.192429272305,Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki,powiat proszowicki,gmina Proszowice,,w923156998
20.5743847364852,50.1696850496992,Centrum Oświatowe im. Stanisława Wyspiańskiego w Koszycach,powiat proszowicki,gmina Koszyce,,w999577766
20.4625148052205,50.141145438873,Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu w Sierosławicach,powiat proszowicki,gmina Nowe Brzesko,,w1017812176
20.2996371461502,50.1895967730504,Szkoła Podstawowa nr 2 im. 6 Brygady Powietrznodesantowej gen. bryg. Stanisława Sosabowskiego w Proszowicach,powiat proszowicki,gmina Proszowice,32-100,w1187889572
20.3198175595873,50.1699208592369,,powiat proszowicki,gmina Proszowice,32-100,w1239210295
20.5277275927629,50.1668630586586,Szkoły Podstawowa w Książnicach Wielkich,powiat proszowicki,gmina Koszyce,,w1258202679
20.3704252864564,50.1563810062377,Szkoła Podstawowa im. Henryka Sienkiewicza,powiat proszowicki,gmina Nowe Brzesko,32-120,w1263058427
